id,name,name_en,name_translated,name_local,name_suffix,rating,rating_local,level,parents,latitude,longitude,timezone,state,country,class_slug,class_name,marker,categories,tags,wikipedia_link,official_link,address,address_is_approximated,opening_hours_raw,opening_hours_note,admission,phone,email,description_text,description_provider,description_link,description_translation_provider,area,media_square,media_square_attribution,media_landscape,media_landscape_attribution,media_portrait,media_portrait_attribution
city:16,Amsterdam,Amsterdam,Amsterdam,Amsterdam,Netherlands,12.077176877152,10.125864812993,city,"region:489|state|North Holland,country:16|country|Netherlands,continent:1|continent|Europe",52.3727597,4.8936041,Europe/Amsterdam,"North Holland",Netherlands,destination:city,City,destination-city,sightseeing,"360° Content|Capital|City",https://en.wikipedia.org/wiki/Amsterdam,https://www.amsterdam.nl/,,,,,,,,"Amsterdam is the official capital and most populous city of the Netherlands; with a population of 872,680 within the city proper, 1,380,872 in the urban area, and 2,410,960 in the metropolitan area. Found within the province of North Holland, Amsterdam is colloquially referred to as the ""Venice of the North"", attributed by the large number of canals which form a UNESCO World Heritage Site. |  | Amsterdam's name derives from Amstelredamme, indicative of the city's origin around a dam in the river Amstel. Originating as a small fishing village in the late 12th century, Amsterdam became one of the most important ports in the world in the Dutch Golden Age of the 17th century and became the leading centre for finance and trade. In the 19th and 20th centuries, the city expanded, and many new neighbourhoods and suburbs were planned and built.",wikipedia,https://en.wikipedia.org/wiki/Amsterdam,wikipedia,219506115,https://media-cdn.sygictraveldata.com/media/612664395a40232133447d33247d383338323335373136.jpg,"{""title"":""Rokin, Amsterdam, Netherlands"",""title_url"":""https://commons.wikimedia.org/wiki/File:Amsterdam_(NL),_Rokin_--_2015_--_7238.jpg"",""author"":""Dietmar Rabich"",""author_url"":""http://commons.wikimedia.org/wiki/User:XRay"",""other"":null,""license"":""CC BY-SA 4.0"",""license_url"":""http://creativecommons.org/licenses/by-sa/4.0""}",https://media-cdn.sygictraveldata.com/media/612664395a40232133447d33247d383338323335373136.jpg,"{""title"":""Rokin, Amsterdam, Netherlands"",""title_url"":""https://commons.wikimedia.org/wiki/File:Amsterdam_(NL),_Rokin_--_2015_--_7238.jpg"",""author"":""Dietmar Rabich"",""author_url"":""http://commons.wikimedia.org/wiki/User:XRay"",""other"":null,""license"":""CC BY-SA 4.0"",""license_url"":""http://creativecommons.org/licenses/by-sa/4.0""}",https://media-cdn.sygictraveldata.com/media/612664395a40232133447d33247d383432343035373330.jpg,"{""title"":""Amsterdam"",""title_url"":null,""author"":""Sygic Traveler"",""author_url"":""https://travel.sygic.com"",""other"":null,""license"":""All rights reserved"",""license_url"":null}"
poi:1286,"Dam Square","Dam Square","Dam Square",Dam,"Centrum, Amsterdam, Nederland",3.0630326634078,2.7388636607499,poi,"poi:27999929|neighbourhood|Centrum,city:16|city|Amsterdam,region:489|state|North Holland,country:16|country|Netherlands,poi:36812456|country|Nederland,continent:1|continent|Europe",52.373191,4.8923962,Europe/Amsterdam,"North Holland",Netherlands,other:square,Square,other-square,sightseeing,"360° Content|Amsterdam Holland Pass|Cobblestone|Pedestrian|Square|Historical|Wheelchair Accessible|View Point",https://en.wikipedia.org/wiki/Dam_Square,,"4 Dam, Amsterdam 1012NP, Netherlands",1,,,,,,"The central square of Amsterdam got its name from its original purpose. Before there was a square, there was a real dam on the Amstel river. Today though it is an important national square where many events are organised during the year (Christmas celebrations, various fairs but also demonstrations and meetings etc.).  |  | There is a stunning National Monument located on the square that commemorates the victims of World War II. It was installed there in 1956 and the Remembrance of the Dead ceremony is held there every year.  |  | There are also several important buildings that are worth noticing located by the square – the 15th century Nieuwe Kerk (New Church), the imposing Royal Palace or the popular Madame Tussauds Wax Museum.",,,,7755,https://media-cdn.sygictraveldata.com/media/612664395a40232133447d33247d3833343931313338.jpg,"{""title"":""The Dam Square. Amsterdam, The Netherlands"",""title_url"":""http://commons.wikimedia.org/wiki/File:Amsterdam_-_Dam_Square_-_1265.jpg"",""author"":""Jorge Royan"",""author_url"":null,""other"":null,""license"":""CC BY-SA 3.0"",""license_url"":""http://creativecommons.org/licenses/by-sa/3.0""}",https://media-cdn.sygictraveldata.com/media/612664395a40232133447d33247d3833343931313338.jpg,"{""title"":""The Dam Square. Amsterdam, The Netherlands"",""title_url"":""http://commons.wikimedia.org/wiki/File:Amsterdam_-_Dam_Square_-_1265.jpg"",""author"":""Jorge Royan"",""author_url"":null,""other"":null,""license"":""CC BY-SA 3.0"",""license_url"":""http://creativecommons.org/licenses/by-sa/3.0""}",https://media-cdn.sygictraveldata.com/media/612664395a40232133447d33247d3833343931313338.jpg,"{""title"":""The Dam Square. Amsterdam, The Netherlands"",""title_url"":""http://commons.wikimedia.org/wiki/File:Amsterdam_-_Dam_Square_-_1265.jpg"",""author"":""Jorge Royan"",""author_url"":null,""other"":null,""license"":""CC BY-SA 3.0"",""license_url"":""http://creativecommons.org/licenses/by-sa/3.0""}"
region:1999144,Westerdokseiland,,,Westerdokseiland,"Centrum, Amsterdam, Netherlands",3.0207792070414,3.2056905725703,island,"poi:27999929|neighbourhood|Centrum,city:16|city|Amsterdam,region:489|state|North Holland,country:16|country|Netherlands,continent:1|continent|Europe",52.385397,4.8929846,Europe/Amsterdam,"North Holland",Netherlands,destination:island,Island,destination-island,,Island,,,,,,,,,,,,,,146277,https://media-cdn.sygictraveldata.com/media/612664395a40232133447d33247d38313139363935313437.jpg?k=e5649c93df850b322c4676ce4c5eb45f309d28272392566fdfbe3a0bfe3e8e40&o=,"{""title"":""Room Mate Aitana"",""title_url"":null,""author"":""booking.com"",""author_url"":null,""other"":null,""license"":null,""license_url"":null}",https://media-cdn.sygictraveldata.com/media/612664395a40232133447d33247d38313139363935313437.jpg?k=e5649c93df850b322c4676ce4c5eb45f309d28272392566fdfbe3a0bfe3e8e40&o=,"{""title"":""Room Mate Aitana"",""title_url"":null,""author"":""booking.com"",""author_url"":null,""other"":null,""license"":null,""license_url"":null}",https://media-cdn.sygictraveldata.com/media/612664395a40232133447d33247d38313139363935313437.jpg?k=e5649c93df850b322c4676ce4c5eb45f309d28272392566fdfbe3a0bfe3e8e40&o=,"{""title"":""Room Mate Aitana"",""title_url"":null,""author"":""booking.com"",""author_url"":null,""other"":null,""license"":null,""license_url"":null}"
region:1998998,IJdock,,,IJdock,"Centrum, Amsterdam, Netherlands",3.0152045293628,3.3928284802844,island,"poi:27999929|neighbourhood|Centrum,region:1999144|island|Westerdokseiland,city:16|city|Amsterdam,region:489|state|North Holland,country:16|country|Netherlands,continent:1|continent|Europe",52.3844062,4.8946646,Europe/Amsterdam,"North Holland",Netherlands,destination:island,Island,destination-island,,Island,,,,,,,,,,,,,,11352,,,,,,
region:1999417,KNSM-eiland,,,KNSM-eiland,"Oost, Amsterdam, Netherlands",3.003,5.2402657277156,island,"poi:28047291|neighbourhood|Oost,city:16|city|Amsterdam,region:489|state|North Holland,country:16|country|Netherlands,continent:1|continent|Europe",52.3769808,4.9424775,Europe/Amsterdam,"North Holland",Netherlands,destination:island,Island,destination-island,,Island,,,,,,,,,,,,,,145413,https://media-cdn.sygictraveldata.com/media/612664395a40232133447d33247d383637353939333830.jpg,"{""title"":""Modern architecture in the Eastern Docklands of Amsterdam. The Barcelonaplein apartment building on KNSM-eiland (1993), designed by Belgian architect…"",""title_url"":""https://commons.wikimedia.org/wiki/File:Barcelonaplein.jpg"",""author"":""Jvhertum"",""author_url"":""http://commons.wikimedia.org/wiki/User:Jvhertum"",""other"":null,""license"":""Public domain"",""license_url"":null}",https://media-cdn.sygictraveldata.com/media/612664395a40232133447d33247d383637353939333830.jpg,"{""title"":""Modern architecture in the Eastern Docklands of Amsterdam. The Barcelonaplein apartment building on KNSM-eiland (1993), designed by Belgian architect…"",""title_url"":""https://commons.wikimedia.org/wiki/File:Barcelonaplein.jpg"",""author"":""Jvhertum"",""author_url"":""http://commons.wikimedia.org/wiki/User:Jvhertum"",""other"":null,""license"":""Public domain"",""license_url"":null}",https://media-cdn.sygictraveldata.com/media/612664395a40232133447d33247d383637353939333831.jpg,"{""title"":""Amsterdam, the Netherlands. View towards the West of Surinamekade on KNSM Island in the Eastern Docklands part of the city. The residential buildings…"",""title_url"":""https://commons.wikimedia.org/wiki/File:2013AmsterdamKNSMisland03.jpg"",""author"":""Kleon3"",""author_url"":""http://commons.wikimedia.org/wiki/User:Kleon3"",""other"":null,""license"":""CC BY-SA 3.0"",""license_url"":""https://creativecommons.org/licenses/by-sa/3.0""}"
region:1999681,Steigereiland-Noord,,,Steigereiland-Noord,"Oost, Amsterdam, Netherlands",3.003,15.015,island,"poi:28047291|neighbourhood|Oost,city:16|city|Amsterdam,region:489|state|North Holland,country:16|country|Netherlands,continent:1|continent|Europe",52.3639834,4.9868178,Europe/Amsterdam,"North Holland",Netherlands,destination:island,Island,destination-island,,Island,,,,,,,,,,,,,,84582,,,,,,
region:2000016,Steigereiland,,,Steigereiland,"Oost, Amsterdam, Netherlands",3.0026225020966,15.013112510483,island,"poi:28047291|neighbourhood|Oost,city:16|city|Amsterdam,region:489|state|North Holland,country:16|country|Netherlands,continent:1|continent|Europe",52.3616027,4.9799651,Europe/Amsterdam,"North Holland",Netherlands,destination:island,Island,destination-island,,Island,,,,,,,,,,,,,,320437,,,,,,
region:2000407,Prinseneiland,,,Prinseneiland,"Centrum, Amsterdam, Netherlands",3.0021417328659,3.1859122401712,island,"poi:27999929|neighbourhood|Centrum,city:16|city|Amsterdam,region:489|state|North Holland,country:16|country|Netherlands,continent:1|continent|Europe",52.385625,4.8872529,Europe/Amsterdam,"North Holland",Netherlands,destination:island,Island,destination-island,,Island,,,,,,,,,,,,,,39785,,,,,,
poi:31732468,Cruquius-eiland,,,Cruquius-eiland,"Oost, Amsterdam, Netherlands",3.0016225020966,15.008112510483,island,"poi:28047291|neighbourhood|Oost,city:16|city|Amsterdam,region:489|state|North Holland,country:16|country|Netherlands,continent:1|continent|Europe",52.3687219,4.945903,Europe/Amsterdam,"North Holland",Netherlands,destination:island,Island,destination-island,,Island,,,,,,,,,,,,,,394910,,,,,,
region:2003828,Zeeburgereiland,Zeeburgereiland,Zeeburgereiland,Zeeburgereiland,"Oost, Amsterdam, Netherlands",3.0015152519894,15.007576259947,island,"poi:28047291|neighbourhood|Oost,city:16|city|Amsterdam,region:489|state|North Holland,country:16|country|Netherlands,continent:1|continent|Europe",52.3723233,4.9653192,Europe/Amsterdam,"North Holland",Netherlands,destination:island,Island,destination-island,,Island,https://en.wikipedia.org/wiki/Zeeburgereiland,,,,,,,,,"The Zeeburgereiland is a triangular island on the east side of Amsterdam, in the Dutch province of North Holland. It lies between the Oranjesluizen and the Diemerzeedijk and on the east is bordered by the IJ. Formerly an industrial area, the island is being redeveloped as part of the IJburg new neighbourhood. It is crossed by the A10 motorway and, since 2005, the IJ Tram line of the Amsterdam Tram system.",wikipedia,https://en.wikipedia.org/wiki/Zeeburgereiland,wikipedia,1570018,https://media-cdn.sygictraveldata.com/media/612664395a40232133447d33247d38313032393234303833.jpg,"{""title"":""Luchtopname. Schellingwoude bij Amsterdam. Voor 1940 marinehaven voor watervliegtuigen. Tijdens de bezetting steunpunt voor watervliegtuigen van de…"",""title_url"":""https://commons.wikimedia.org/wiki/File:Schellingwoude_bij_Amsterdam_met_marinehaven_voor_watervliegtuigen.jpg"",""author"":""RAF"",""author_url"":null,""other"":null,""license"":""Public domain"",""license_url"":null}",https://media-cdn.sygictraveldata.com/media/612664395a40232133447d33247d38313032393234303833.jpg,"{""title"":""Luchtopname. Schellingwoude bij Amsterdam. Voor 1940 marinehaven voor watervliegtuigen. Tijdens de bezetting steunpunt voor watervliegtuigen van de…"",""title_url"":""https://commons.wikimedia.org/wiki/File:Schellingwoude_bij_Amsterdam_met_marinehaven_voor_watervliegtuigen.jpg"",""author"":""RAF"",""author_url"":null,""other"":null,""license"":""Public domain"",""license_url"":null}",https://media-cdn.sygictraveldata.com/media/612664395a40232133447d33247d38313032393234303833.jpg,"{""title"":""Luchtopname. Schellingwoude bij Amsterdam. Voor 1940 marinehaven voor watervliegtuigen. Tijdens de bezetting steunpunt voor watervliegtuigen van de…"",""title_url"":""https://commons.wikimedia.org/wiki/File:Schellingwoude_bij_Amsterdam_met_marinehaven_voor_watervliegtuigen.jpg"",""author"":""RAF"",""author_url"":null,""other"":null,""license"":""Public domain"",""license_url"":null}"
region:1999151,Wittenburg,,,Wittenburg,"Centrum, Amsterdam, Netherlands",3.0015152519894,4.906778141176,island,"poi:27999929|neighbourhood|Centrum,city:16|city|Amsterdam,region:489|state|North Holland,country:16|country|Netherlands,continent:1|continent|Europe",52.371514,4.9219192,Europe/Amsterdam,"North Holland",Netherlands,destination:island,Island,destination-island,,Island,,,,,,,,,,,,,,140972,https://media-cdn.sygictraveldata.com/media/612664395a40232133447d33247d383335393536363233.jpg,"{""title"":""Amsterdam - Oosterkerk Wittenburg en Pelikaanbrug over Nieuwe Vaart."",""title_url"":""https://commons.wikimedia.org/wiki/File:Amsterdam_-_Oosterkerk_Wittenburg.JPG"",""author"":""A. Bakker"",""author_url"":""http://commons.wikimedia.org/w/index.php?title=Picasdre&amp;action=edit&amp;redlink=1"",""other"":null,""license"":""CC BY 3.0"",""license_url"":""http://creativecommons.org/licenses/by/3.0""}",https://media-cdn.sygictraveldata.com/media/612664395a40232133447d33247d383335393536363233.jpg,"{""title"":""Amsterdam - Oosterkerk Wittenburg en Pelikaanbrug over Nieuwe Vaart."",""title_url"":""https://commons.wikimedia.org/wiki/File:Amsterdam_-_Oosterkerk_Wittenburg.JPG"",""author"":""A. Bakker"",""author_url"":""http://commons.wikimedia.org/w/index.php?title=Picasdre&amp;action=edit&amp;redlink=1"",""other"":null,""license"":""CC BY 3.0"",""license_url"":""http://creativecommons.org/licenses/by/3.0""}",https://media-cdn.sygictraveldata.com/media/612664395a40232133447d33247d383335393536363234.jpg,"{""title"":""View of the Oosterk in Amsterdam, view on the northern side, as seen from the Marie Altelaarplein."",""title_url"":""https://commons.wikimedia.org/wiki/File:Oosterkerk-amsterdam-wittenburg.jpg"",""author"":""Husky"",""author_url"":""http://commons.wikimedia.org/wiki/User:Husky"",""other"":null,""license"":""CC BY 4.0"",""license_url"":""http://creativecommons.org/licenses/by/4.0""}"
